Area_Name,Year,Group_Name,Sub_Group_Name,Cases_Acquitted_or_Discharged,Cases_charge_sheets_were_not_laid_but_Final_Report_submitted,Cases_Chargesheeted,Cases_Compounded_or_Withdrawn,Cases_Convicted,Cases_Declared_False_on_Account_of_Mistake_of_Fact_or_of_Law,Cases_Investigated_Chargesheets+FR_Submitted,Cases_not_Investigated_or_in_which_investigation_was_refused,Cases_Pending_Investigation_at_Year_End,Cases_Pending_Investigation_from_previous_year,Cases_Pending_Trial_at_Year_End,Cases_Pending_Trial_from_the_previous_year,Cases_Reported,Cases_Sent_for_Trial,Cases_Trials_Completed,Cases_Withdrawn_by_the_Govt,Cases_withdrawn_by_the_Govt_during_investigation,Total_Cases_for_Trial
Andaman & Nicobar Islands,2001.0,Rape,01. Rape,5.0,2.0,3.0,0.0,0.0,0.0,5.0,0.0,1.0,3.0,34.0,36.0,3.0,3.0,5.0,0.0,0.0,39.0
Andhra Pradesh,2001.0,Rape,01. Rape,731.0,22.0,769.0,35.0,197.0,74.0,791.0,3.0,393.0,390.0,1974.0,2170.0,871.0,769.0,928.0,2.0,0.0,2937.0
Arunachal Pradesh,2001.0,Rape,01. Rape,1.0,2.0,25.0,0.0,2.0,0.0,27.0,0.0,18.0,12.0,282.0,260.0,33.0,25.0,3.0,0.0,0.0,285.0
Assam,2001.0,Rape,01. Rape,334.0,95.0,495.0,10.0,101.0,45.0,590.0,0.0,1045.0,863.0,1964.0,1914.0,817.0,495.0,435.0,0.0,0.0,2409.0
Bihar,2001.0,Rape,01. Rape,406.0,141.0,685.0,0.0,155.0,105.0,826.0,0.0,488.0,531.0,3185.0,3061.0,888.0,685.0,561.0,0.0,0.0,3746.0
Chandigarh,2001.0,Rape,01. Rape,9.0,0.0,16.0,0.0,2.0,2.0,16.0,0.0,1.0,1.0,34.0,29.0,18.0,16.0,11.0,0.0,0.0,45.0
Chhattisgarh,2001.0,Rape,01. Rape,520.0,15.0,976.0,1.0,158.0,11.0,991.0,1.0,86.0,130.0,3966.0,3669.0,959.0,976.0,678.0,0.0,0.0,4645.0
Dadra & Nagar Haveli,2001.0,Rape,01. Rape,0.0,0.0,8.0,0.0,1.0,0.0,8.0,0.0,1.0,3.0,21.0,14.0,6.0,8.0,1.0,0.0,0.0,22.0
Daman & Diu,2001.0,Rape,01. Rape,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,3.0,0.0,0.0,4.0
Delhi,2001.0,Rape,01. Rape,80.0,65.0,361.0,0.0,29.0,1.0,426.0,0.0,197.0,243.0,1651.0,1399.0,381.0,361.0,109.0,0.0,0.0,1760.0
Goa,2001.0,Rape,01. Rape,10.0,1.0,14.0,0.0,10.0,0.0,15.0,0.0,5.0,8.0,47.0,53.0,12.0,14.0,20.0,0.0,0.0,67.0
Gujarat,2001.0,Rape,01. Rape,150.0,10.0,288.0,7.0,26.0,10.0,298.0,1.0,24.0,47.0,1948.0,1843.0,286.0,288.0,176.0,0.0,0.0,2131.0
Haryana,2001.0,Rape,01. Rape,291.0,6.0,341.0,1.0,94.0,54.0,347.0,0.0,22.0,25.0,636.0,681.0,398.0,341.0,385.0,0.0,0.0,1022.0
Himachal Pradesh,2001.0,Rape,01. Rape,75.0,0.0,110.0,0.0,30.0,25.0,110.0,0.0,35.0,46.0,389.0,384.0,124.0,110.0,105.0,0.0,0.0,494.0
Jammu & Kashmir,2001.0,Rape,01. Rape,98.0,4.0,147.0,5.0,7.0,26.0,151.0,0.0,49.0,57.0,570.0,533.0,169.0,147.0,105.0,0.0,0.0,680.0
Jharkhand,2001.0,Rape,01. Rape,236.0,49.0,404.0,0.0,99.0,11.0,453.0,0.0,185.0,82.0,1034.0,965.0,567.0,404.0,335.0,0.0,0.0,1369.0
Karnataka,2001.0,Rape,01. Rape,154.0,17.0,271.0,8.0,41.0,24.0,288.0,4.0,99.0,122.0,1132.0,1064.0,293.0,271.0,195.0,0.0,0.0,1335.0
Kerala,2001.0,Rape,01. Rape,111.0,11.0,510.0,3.0,32.0,22.0,521.0,10.0,505.0,496.0,2190.0,1826.0,562.0,510.0,143.0,0.0,0.0,2336.0
Lakshadweep,2001.0,Rape,01. Rape,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Madhya Pradesh,2001.0,Rape,01. Rape,2052.0,188.0,2616.0,25.0,589.0,16.0,2804.0,9.0,261.0,264.0,6721.0,6771.0,2851.0,2616.0,2641.0,0.0,25.0,9387.0
Maharashtra,2001.0,Rape,01. Rape,727.0,21.0,1289.0,17.0,125.0,20.0,1310.0,0.0,230.0,258.0,9876.0,9456.0,1302.0,1289.0,852.0,0.0,0.0,10745.0
Manipur,2001.0,Rape,01. Rape,1.0,20.0,4.0,0.0,0.0,0.0,24.0,0.0,33.0,37.0,39.0,36.0,20.0,4.0,1.0,0.0,0.0,40.0
Meghalaya,2001.0,Rape,01. Rape,11.0,8.0,21.0,0.0,0.0,0.0,29.0,0.0,64.0,67.0,236.0,226.0,26.0,21.0,11.0,0.0,0.0,247.0
Mizoram,2001.0,Rape,01. Rape,10.0,0.0,51.0,0.0,32.0,0.0,51.0,0.0,14.0,13.0,96.0,87.0,52.0,51.0,42.0,0.0,0.0,138.0
Nagaland,2001.0,Rape,01. Rape,2.0,3.0,8.0,1.0,2.0,0.0,11.0,0.0,19.0,13.0,48.0,45.0,17.0,8.0,4.0,0.0,0.0,53.0
Odisha,2001.0,Rape,01. Rape,408.0,22.0,769.0,0.0,117.0,40.0,791.0,1.0,268.0,310.0,2354.0,2110.0,790.0,769.0,525.0,0.0,0.0,2879.0
Puducherry,2001.0,Rape,01. Rape,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,4.0,3.0,16.0,8.0,9.0,8.0,0.0,0.0,0.0,16.0
Punjab,2001.0,Rape,01. Rape,171.0,29.0,239.0,1.0,81.0,32.0,268.0,0.0,75.0,77.0,235.0,249.0,298.0,239.0,252.0,0.0,0.0,488.0
Rajasthan,2001.0,Rape,01. Rape,700.0,7.0,771.0,13.0,266.0,320.0,778.0,0.0,78.0,127.0,2614.0,2822.0,1049.0,771.0,966.0,0.0,0.0,3593.0
Sikkim,2001.0,Rape,01. Rape,2.0,0.0,5.0,0.0,1.0,0.0,5.0,0.0,3.0,0.0,7.0,5.0,8.0,5.0,3.0,0.0,0.0,10.0
Tamil Nadu,2001.0,Rape,01. Rape,160.0,18.0,397.0,3.0,84.0,30.0,415.0,11.0,247.0,280.0,1288.0,1138.0,423.0,397.0,244.0,0.0,0.0,1535.0
Tripura,2001.0,Rape,01. Rape,38.0,5.0,63.0,1.0,13.0,0.0,68.0,0.0,67.0,33.0,129.0,118.0,102.0,63.0,51.0,0.0,0.0,181.0
Uttar Pradesh,2001.0,Rape,01. Rape,622.0,152.0,1613.0,15.0,697.0,215.0,1765.0,0.0,192.0,214.0,5616.0,5337.0,1958.0,1613.0,1319.0,0.0,0.0,6950.0
Uttarakhand,2001.0,Rape,01. Rape,34.0,3.0,58.0,2.0,30.0,10.0,61.0,0.0,9.0,6.0,157.0,165.0,74.0,58.0,64.0,0.0,0.0,223.0
West Bengal,2001.0,Rape,01. Rape,517.0,133.0,717.0,0.0,45.0,1.0,850.0,0.0,777.0,919.0,5081.0,4926.0,709.0,717.0,562.0,0.0,0.0,5643.0
Andaman & Nicobar Islands,2002.0,Rape,01. Rape,2.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,34.0,34.0,2.0,3.0,3.0,0.0,0.0,37.0
Andhra Pradesh,2002.0,Rape,01. Rape,650.0,23.0,881.0,20.0,120.0,74.0,904.0,0.0,417.0,393.0,2065.0,1974.0,1002.0,881.0,770.0,0.0,0.0,2855.0
Arunachal Pradesh,2002.0,Rape,01. Rape,3.0,5.0,32.0,0.0,0.0,0.0,37.0,0.0,19.0,18.0,311.0,282.0,38.0,32.0,3.0,0.0,0.0,314.0
Assam,2002.0,Rape,01. Rape,247.0,134.0,624.0,13.0,99.0,25.0,758.0,0.0,1232.0,1045.0,2229.0,1964.0,970.0,624.0,346.0,0.0,0.0,2588.0
Bihar,2002.0,Rape,01. Rape,383.0,128.0,687.0,0.0,116.0,114.0,815.0,0.0,599.0,488.0,3373.0,3185.0,1040.0,687.0,499.0,0.0,0.0,3872.0
Chandigarh,2002.0,Rape,01. Rape,5.0,1.0,12.0,0.0,1.0,0.0,13.0,0.0,6.0,1.0,40.0,34.0,18.0,12.0,6.0,0.0,0.0,46.0
Chhattisgarh,2002.0,Rape,01. Rape,1081.0,4.0,986.0,140.0,585.0,21.0,990.0,5.0,62.0,86.0,3146.0,3966.0,992.0,986.0,1666.0,0.0,0.0,4952.0
Dadra & Nagar Haveli,2002.0,Rape,01. Rape,12.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,2.0,1.0,10.0,21.0,4.0,3.0,14.0,0.0,0.0,24.0
Daman & Diu,2002.0,Rape,01. Rape,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delhi,2002.0,Rape,01. Rape,344.0,21.0,388.0,0.0,98.0,3.0,409.0,1.0,187.0,197.0,1597.0,1651.0,403.0,388.0,442.0,0.0,0.0,2039.0
Goa,2002.0,Rape,01. Rape,6.0,2.0,8.0,0.0,8.0,0.0,10.0,0.0,7.0,5.0,41.0,47.0,12.0,8.0,14.0,0.0,0.0,55.0
Gujarat,2002.0,Rape,01. Rape,184.0,14.0,244.0,13.0,39.0,4.0,258.0,0.0,29.0,24.0,1956.0,1948.0,267.0,244.0,223.0,0.0,0.0,2192.0
Haryana,2002.0,Rape,01. Rape,288.0,3.0,316.0,1.0,92.0,54.0,319.0,0.0,10.0,22.0,571.0,636.0,361.0,316.0,380.0,0.0,0.0,952.0
Himachal Pradesh,2002.0,Rape,01. Rape,86.0,1.0,112.0,1.0,22.0,14.0,113.0,0.0,45.0,35.0,392.0,389.0,137.0,112.0,108.0,0.0,0.0,501.0
Jammu & Kashmir,2002.0,Rape,01. Rape,125.0,14.0,156.0,3.0,11.0,23.0,170.0,0.0,48.0,49.0,587.0,570.0,192.0,156.0,136.0,0.0,0.0,726.0
Jharkhand,2002.0,Rape,01. Rape,438.0,65.0,589.0,9.0,132.0,31.0,654.0,0.0,342.0,230.0,2277.0,2267.0,797.0,589.0,570.0,0.0,0.0,2856.0
Karnataka,2002.0,Rape,01. Rape,190.0,9.0,277.0,1.0,35.0,6.0,286.0,4.0,95.0,99.0,1183.0,1132.0,292.0,277.0,225.0,0.0,0.0,1409.0
Kerala,2002.0,Rape,01. Rape,141.0,10.0,445.0,7.0,29.0,13.0,455.0,4.0,532.0,505.0,2458.0,2190.0,499.0,445.0,170.0,0.0,0.0,2635.0
Lakshadweep,2002.0,Rape,01. Rape,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
Madhya Pradesh,2002.0,Rape,01. Rape,1837.0,50.0,2804.0,32.0,548.0,102.0,2854.0,3.0,193.0,261.0,7106.0,6721.0,2891.0,2804.0,2385.0,2.0,0.0,9523.0
Maharashtra,2002.0,Rape,01. Rape,1011.0,32.0,1288.0,16.0,163.0,17.0,1320.0,0.0,245.0,230.0,9974.0,9876.0,1352.0,1288.0,1174.0,0.0,0.0,11164.0
Manipur,2002.0,Rape,01. Rape,0.0,9.0,7.0,0.0,0.0,0.0,16.0,1.0,30.0,33.0,46.0,39.0,14.0,7.0,0.0,0.0,0.0,46.0
Meghalaya,2002.0,Rape,01. Rape,2.0,7.0,17.0,1.0,0.0,0.0,24.0,0.0,78.0,64.0,250.0,236.0,38.0,17.0,2.0,0.0,0.0,253.0
Mizoram,2002.0,Rape,01. Rape,10.0,2.0,53.0,0.0,22.0,0.0,55.0,0.0,32.0,11.0,106.0,85.0,76.0,53.0,32.0,0.0,0.0,138.0
Nagaland,2002.0,Rape,01. Rape,0.0,2.0,14.0,0.0,7.0,0.0,16.0,0.0,20.0,19.0,55.0,48.0,17.0,14.0,7.0,0.0,0.0,62.0
Odisha,2002.0,Rape,01. Rape,368.0,10.0,633.0,0.0,105.0,35.0,643.0,0.0,281.0,268.0,2514.0,2354.0,691.0,633.0,473.0,0.0,0.0,2987.0
Puducherry,2002.0,Rape,01. Rape,1.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,7.0,4.0,16.0,16.0,6.0,3.0,3.0,0.0,0.0,19.0
Punjab,2002.0,Rape,01. Rape,185.0,14.0,255.0,0.0,76.0,31.0,269.0,0.0,74.0,75.0,229.0,235.0,299.0,255.0,261.0,0.0,0.0,490.0
Rajasthan,2002.0,Rape,01. Rape,746.0,10.0,668.0,13.0,287.0,350.0,678.0,0.0,101.0,78.0,2236.0,2614.0,1051.0,668.0,1033.0,0.0,0.0,3282.0
Sikkim,2002.0,Rape,01. Rape,4.0,4.0,3.0,0.0,4.0,0.0,7.0,0.0,2.0,3.0,2.0,7.0,6.0,3.0,8.0,0.0,0.0,10.0
Tamil Nadu,2002.0,Rape,01. Rape,324.0,3.0,471.0,3.0,121.0,28.0,474.0,7.0,271.0,247.0,1311.0,1288.0,534.0,471.0,445.0,0.0,1.0,1759.0
Tripura,2002.0,Rape,01. Rape,43.0,12.0,95.0,1.0,23.0,0.0,107.0,0.0,68.0,67.0,157.0,129.0,108.0,95.0,66.0,0.0,0.0,224.0
Uttar Pradesh,2002.0,Rape,01. Rape,767.0,87.0,1282.0,20.0,708.0,184.0,1369.0,0.0,54.0,192.0,5403.0,5616.0,1415.0,1282.0,1475.0,0.0,0.0,6898.0
Uttarakhand,2002.0,Rape,01. Rape,35.0,3.0,69.0,0.0,32.0,12.0,72.0,0.0,14.0,9.0,159.0,157.0,89.0,69.0,67.0,0.0,0.0,226.0
West Bengal,2002.0,Rape,01. Rape,373.0,113.0,842.0,0.0,63.0,6.0,955.0,0.0,575.0,777.0,5487.0,5081.0,759.0,842.0,436.0,0.0,0.0,5923.0
Andaman & Nicobar Islands,2003.0,Rape,01. Rape,3.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,29.0,34.0,2.0,1.0,6.0,0.0,0.0,35.0
Andhra Pradesh,2003.0,Rape,01. Rape,641.0,11.0,823.0,5.0,122.0,75.0,834.0,8.0,446.0,417.0,2120.0,2065.0,946.0,823.0,763.0,0.0,0.0,2888.0
Arunachal Pradesh,2003.0,Rape,01. Rape,0.0,6.0,29.0,1.0,0.0,0.0,35.0,0.0,15.0,19.0,339.0,311.0,31.0,29.0,0.0,0.0,0.0,340.0
Assam,2003.0,Rape,01. Rape,355.0,181.0,769.0,17.0,105.0,70.0,950.0,4.0,1303.0,1232.0,2521.0,2229.0,1095.0,769.0,460.0,0.0,0.0,2998.0
Bihar,2003.0,Rape,01. Rape,493.0,119.0,592.0,0.0,148.0,99.0,711.0,0.0,774.0,599.0,3324.0,3373.0,985.0,592.0,641.0,0.0,0.0,3965.0
Chandigarh,2003.0,Rape,01. Rape,10.0,1.0,21.0,0.0,7.0,0.0,22.0,0.0,2.0,6.0,44.0,40.0,18.0,21.0,17.0,0.0,0.0,61.0
Chhattisgarh,2003.0,Rape,01. Rape,445.0,13.0,838.0,51.0,252.0,19.0,851.0,2.0,88.0,62.0,3237.0,3147.0,898.0,838.0,697.0,0.0,0.0,3985.0
Dadra & Nagar Haveli,2003.0,Rape,01. Rape,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,7.0,10.0,1.0,0.0,3.0,0.0,0.0,10.0
Daman & Diu,2003.0,Rape,01. Rape,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,1.0,5.0,2.0,0.0,0.0,0.0,3.0
Delhi,2003.0,Rape,01. Rape,403.0,27.0,460.0,0.0,114.0,3.0,487.0,4.0,181.0,187.0,1540.0,1597.0,490.0,460.0,517.0,0.0,2.0,2057.0
Goa,2003.0,Rape,01. Rape,11.0,2.0,13.0,1.0,7.0,0.0,15.0,0.0,23.0,7.0,35.0,41.0,31.0,13.0,18.0,0.0,0.0,54.0
Gujarat,2003.0,Rape,01. Rape,205.0,15.0,216.0,4.0,24.0,9.0,231.0,0.0,25.0,29.0,1939.0,1956.0,236.0,216.0,229.0,0.0,0.0,2172.0
Haryana,2003.0,Rape,01. Rape,269.0,9.0,288.0,0.0,94.0,47.0,297.0,0.0,19.0,10.0,496.0,571.0,353.0,288.0,363.0,0.0,0.0,859.0
Himachal Pradesh,2003.0,Rape,01. Rape,94.0,2.0,106.0,0.0,28.0,18.0,108.0,0.0,45.0,45.0,376.0,392.0,126.0,106.0,122.0,0.0,0.0,498.0
Jammu & Kashmir,2003.0,Rape,01. Rape,79.0,1.0,168.0,3.0,9.0,21.0,169.0,0.0,69.0,48.0,664.0,587.0,211.0,168.0,88.0,0.0,0.0,755.0
Jharkhand,2003.0,Rape,01. Rape,395.0,70.0,509.0,7.0,131.0,22.0,579.0,0.0,453.0,342.0,2095.0,2277.0,712.0,509.0,526.0,158.0,0.0,2628.0
Karnataka,2003.0,Rape,01. Rape,248.0,8.0,268.0,1.0,39.0,29.0,276.0,7.0,104.0,95.0,1163.0,1183.0,321.0,268.0,287.0,0.0,0.0,1451.0
Kerala,2003.0,Rape,01. Rape,185.0,6.0,409.0,3.0,45.0,24.0,415.0,7.0,480.0,532.0,2629.0,2458.0,394.0,409.0,230.0,5.0,0.0,2862.0
Lakshadweep,2003.0,Rape,01. Rape,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0
Madhya Pradesh,2003.0,Rape,01. Rape,2110.0,44.0,2580.0,54.0,604.0,90.0,2624.0,0.0,209.0,185.0,6754.0,6942.0,2738.0,2580.0,2714.0,0.0,0.0,9522.0
Maharashtra,2003.0,Rape,01. Rape,994.0,34.0,1203.0,29.0,190.0,17.0,1237.0,0.0,259.0,245.0,9964.0,9974.0,1268.0,1203.0,1184.0,0.0,0.0,11177.0
Manipur,2003.0,Rape,01. Rape,2.0,9.0,3.0,0.0,1.0,0.0,12.0,0.0,36.0,30.0,46.0,46.0,18.0,3.0,3.0,0.0,0.0,49.0
Meghalaya,2003.0,Rape,01. Rape,2.0,4.0,18.0,0.0,2.0,0.0,22.0,0.0,96.0,78.0,264.0,250.0,40.0,18.0,4.0,0.0,0.0,268.0
Mizoram,2003.0,Rape,01. Rape,4.0,3.0,69.0,0.0,18.0,0.0,72.0,0.0,14.0,32.0,153.0,106.0,54.0,69.0,22.0,0.0,0.0,175.0
Nagaland,2003.0,Rape,01. Rape,2.0,4.0,12.0,1.0,7.0,0.0,16.0,0.0,18.0,20.0,57.0,55.0,14.0,12.0,9.0,0.0,0.0,67.0
Odisha,2003.0,Rape,01. Rape,416.0,13.0,707.0,0.0,123.0,53.0,720.0,0.0,233.0,281.0,2682.0,2514.0,725.0,707.0,539.0,0.0,0.0,3221.0
Puducherry,2003.0,Rape,01. Rape,0.0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,5.0,7.0,18.0,16.0,2.0,3.0,1.0,0.0,0.0,19.0
Punjab,2003.0,Rape,01. Rape,210.0,18.0,273.0,2.0,108.0,31.0,291.0,1.0,131.0,74.0,182.0,229.0,380.0,273.0,318.0,0.0,0.0,502.0
Rajasthan,2003.0,Rape,01. Rape,636.0,9.0,649.0,12.0,283.0,349.0,658.0,0.0,144.0,101.0,1954.0,2236.0,1050.0,649.0,919.0,0.0,0.0,2885.0
Sikkim,2003.0,Rape,01. Rape,2.0,0.0,8.0,0.0,1.0,0.0,8.0,0.0,4.0,2.0,7.0,2.0,10.0,8.0,3.0,0.0,0.0,10.0
Tamil Nadu,2003.0,Rape,01. Rape,340.0,20.0,477.0,1.0,115.0,23.0,497.0,2.0,303.0,269.0,1330.0,1309.0,557.0,477.0,455.0,0.0,1.0,1786.0
Tripura,2003.0,Rape,01. Rape,37.0,16.0,99.0,0.0,14.0,0.0,115.0,0.0,67.0,68.0,205.0,157.0,114.0,99.0,51.0,0.0,0.0,256.0
Uttar Pradesh,2003.0,Rape,01. Rape,654.0,34.0,719.0,6.0,682.0,112.0,753.0,0.0,100.0,54.0,4780.0,5403.0,911.0,719.0,1336.0,0.0,0.0,6122.0
Uttarakhand,2003.0,Rape,01. Rape,43.0,7.0,86.0,0.0,32.0,10.0,93.0,0.0,18.0,14.0,170.0,159.0,107.0,86.0,75.0,0.0,0.0,245.0
West Bengal,2003.0,Rape,01. Rape,394.0,53.0,784.0,0.0,113.0,15.0,837.0,1.0,724.0,575.0,5764.0,5487.0,1002.0,784.0,507.0,0.0,0.0,6271.0
Andaman & Nicobar Islands,2004.0,Rape,01. Rape,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,7.0,1.0,29.0,29.0,10.0,4.0,4.0,0.0,0.0,33.0
Andhra Pradesh,2004.0,Rape,01. Rape,752.0,43.0,755.0,7.0,137.0,47.0,798.0,4.0,613.0,446.0,1979.0,2120.0,1016.0,755.0,889.0,0.0,0.0,2875.0
Arunachal Pradesh,2004.0,Rape,01. Rape,1.0,8.0,27.0,0.0,4.0,0.0,35.0,0.0,22.0,15.0,361.0,339.0,42.0,27.0,5.0,0.0,0.0,366.0
Assam,2004.0,Rape,01. Rape,455.0,173.0,793.0,28.0,127.0,72.0,966.0,0.0,1436.0,1303.0,2704.0,2521.0,1171.0,793.0,582.0,0.0,0.0,3314.0
Bihar,2004.0,Rape,01. Rape,652.0,165.0,656.0,0.0,97.0,137.0,821.0,0.0,1206.0,774.0,3231.0,3324.0,1390.0,656.0,749.0,0.0,0.0,3980.0
Chandigarh,2004.0,Rape,01. Rape,13.0,2.0,17.0,0.0,0.0,1.0,19.0,0.0,1.0,2.0,48.0,44.0,19.0,17.0,13.0,0.0,0.0,61.0
Chhattisgarh,2004.0,Rape,01. Rape,511.0,11.0,941.0,441.0,240.0,26.0,952.0,1.0,78.0,88.0,2986.0,3237.0,969.0,941.0,751.0,0.0,0.0,4178.0
Dadra & Nagar Haveli,2004.0,Rape,01. Rape,5.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,3.0,1.0,7.0,7.0,7.0,5.0,5.0,0.0,0.0,12.0
Daman & Diu,2004.0,Rape,01. Rape,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,6.0,3.0,1.0,3.0,0.0,0.0,0.0,6.0
Delhi,2004.0,Rape,01. Rape,499.0,20.0,432.0,0.0,98.0,73.0,452.0,3.0,204.0,181.0,1375.0,1540.0,551.0,432.0,597.0,0.0,0.0,1972.0
Goa,2004.0,Rape,01. Rape,10.0,6.0,33.0,1.0,7.0,0.0,39.0,0.0,21.0,23.0,50.0,35.0,37.0,33.0,17.0,0.0,0.0,68.0
Gujarat,2004.0,Rape,01. Rape,232.0,17.0,307.0,3.0,40.0,14.0,324.0,0.0,26.0,25.0,1971.0,1939.0,339.0,307.0,272.0,0.0,0.0,2246.0
Haryana,2004.0,Rape,01. Rape,222.0,5.0,337.0,0.0,93.0,41.0,342.0,0.0,22.0,19.0,518.0,496.0,386.0,337.0,315.0,0.0,0.0,833.0
Himachal Pradesh,2004.0,Rape,01. Rape,81.0,6.0,133.0,0.0,26.0,24.0,139.0,0.0,35.0,45.0,402.0,376.0,153.0,133.0,107.0,0.0,0.0,509.0
Jammu & Kashmir,2004.0,Rape,01. Rape,92.0,11.0,175.0,4.0,12.0,20.0,186.0,0.0,81.0,69.0,731.0,664.0,218.0,175.0,104.0,0.0,0.0,839.0
Jharkhand,2004.0,Rape,01. Rape,395.0,70.0,509.0,7.0,131.0,22.0,579.0,0.0,649.0,453.0,1913.0,2095.0,797.0,509.0,526.0,158.0,0.0,2446.0
Karnataka,2004.0,Rape,01. Rape,297.0,5.0,270.0,5.0,64.0,14.0,275.0,4.0,100.0,104.0,1066.0,1163.0,291.0,270.0,361.0,1.0,2.0,1432.0
Kerala,2004.0,Rape,01. Rape,260.0,13.0,390.0,6.0,56.0,22.0,403.0,6.0,529.0,480.0,2696.0,2629.0,480.0,390.0,316.0,1.0,0.0,3018.0
Lakshadweep,2004.0,Rape,01. Rape,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0
Madhya Pradesh,2004.0,Rape,01. Rape,2130.0,31.0,2815.0,37.0,669.0,83.0,2846.0,0.0,155.0,209.0,6733.0,6754.0,2875.0,2815.0,2799.0,0.0,0.0,9569.0
Maharashtra,2004.0,Rape,01. Rape,1033.0,29.0,1261.0,17.0,227.0,23.0,1290.0,0.0,334.0,259.0,9948.0,9964.0,1388.0,1261.0,1260.0,0.0,0.0,11225.0
Manipur,2004.0,Rape,01. Rape,2.0,11.0,2.0,0.0,0.0,0.0,13.0,0.0,54.0,36.0,46.0,46.0,31.0,2.0,2.0,0.0,0.0,48.0
Meghalaya,2004.0,Rape,01. Rape,2.0,6.0,24.0,0.0,2.0,0.0,30.0,0.0,120.0,96.0,284.0,264.0,54.0,24.0,4.0,0.0,0.0,288.0
Mizoram,2004.0,Rape,01. Rape,20.0,5.0,15.0,1.0,100.0,0.0,20.0,0.0,14.0,14.0,47.0,153.0,20.0,15.0,120.0,0.0,0.0,168.0
Nagaland,2004.0,Rape,01. Rape,0.0,0.0,29.0,0.0,40.0,0.0,29.0,0.0,7.0,18.0,46.0,57.0,18.0,29.0,40.0,0.0,0.0,86.0
Odisha,2004.0,Rape,01. Rape,550.0,20.0,679.0,0.0,116.0,31.0,699.0,0.0,273.0,233.0,2695.0,2682.0,770.0,679.0,666.0,0.0,0.0,3361.0
Puducherry,2004.0,Rape,01. Rape,2.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,5.0,5.0,18.0,18.0,4.0,4.0,4.0,0.0,0.0,22.0
Punjab,2004.0,Rape,01. Rape,204.0,24.0,333.0,2.0,93.0,24.0,357.0,1.0,139.0,131.0,216.0,182.0,390.0,333.0,297.0,0.0,0.0,515.0
Rajasthan,2004.0,Rape,01. Rape,545.0,9.0,736.0,15.0,208.0,324.0,745.0,0.0,113.0,144.0,1922.0,1954.0,1038.0,736.0,753.0,0.0,0.0,2690.0
Sikkim,2004.0,Rape,01. Rape,1.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,5.0,4.0,5.0,7.0,3.0,2.0,3.0,0.0,0.0,9.0
Tamil Nadu,2004.0,Rape,01. Rape,317.0,17.0,570.0,21.0,107.0,40.0,587.0,4.0,290.0,303.0,1455.0,1330.0,618.0,570.0,424.0,0.0,0.0,1900.0
Tripura,2004.0,Rape,01. Rape,53.0,8.0,133.0,0.0,23.0,3.0,141.0,0.0,83.0,67.0,262.0,205.0,160.0,133.0,76.0,0.0,0.0,338.0
Uttar Pradesh,2004.0,Rape,01. Rape,622.0,75.0,1163.0,14.0,660.0,133.0,1238.0,0.0,126.0,100.0,4647.0,4780.0,1397.0,1163.0,1282.0,0.0,0.0,5943.0
Uttarakhand,2004.0,Rape,01. Rape,30.0,9.0,90.0,0.0,41.0,13.0,99.0,0.0,21.0,18.0,189.0,170.0,115.0,90.0,71.0,0.0,0.0,260.0
West Bengal,2004.0,Rape,01. Rape,582.0,126.0,1244.0,0.0,135.0,7.0,1370.0,0.0,822.0,724.0,6291.0,5764.0,1475.0,1244.0,717.0,0.0,0.0,7008.0
Andaman & Nicobar Islands,2005.0,Rape,01. Rape,3.0,0.0,8.0,0.0,1.0,0.0,8.0,0.0,3.0,7.0,33.0,29.0,4.0,8.0,4.0,0.0,0.0,37.0
